"species","decimalLatitude","decimalLongitude","country","eventDate"
"Apis mellifera",-37.808414,145.080426,"Australia","2025-01-03T10:26:01"
"Apis mellifera",15.979868,-97.668605,"Mexico","2025-01-02T17:17:49"
"Apis mellifera",38.619439,-121.274074,"United States of America","2025-01-02T15:17:01"
"Apis mellifera",25.815431,-77.946663,"Bahamas","2025-01-01T11:27"
"Apis mellifera",19.684177,-101.181529,"Mexico","2025-01-02T13:15"
"Apis mellifera",-35.034007,138.670487,"Australia","2025-01-03T12:48:33"
"Apis mellifera",33.584191,-117.735477,"United States of America","2025-01-02T13:56"
"Apis mellifera",33.347012,-115.729713,"United States of America","2025-01-02T13:20:07"
"Apis mellifera",32.2864,-110.948188,"United States of America","2025-01-02T16:27:29"
"Apis mellifera",36.485881,-121.201753,"United States of America","2025-01-02T11:32:39"
"Apis mellifera",-41.905807,146.209395,"Australia","2025-01-02T11:23:58"
"Apis mellifera",36.603048,-121.833551,"United States of America","2025-01-02T09:41:42"
"Apis mellifera",-34.932789,138.54177,"Australia","2025-01-03T11:40:33"
"Apis mellifera",30.422524,-9.609333,"Morocco","2025-01-03T10:06:46"
"Apis mellifera",-34.050991,22.320581,"South Africa","2025-01-01T09:24:28"
"Apis mellifera",-23.569896,-46.728477,"Brazil","2025-01-03T10:37:47"
"Apis mellifera",-23.456065,-46.734848,"Brazil","2025-01-03T10:39"
"Apis mellifera",-23.456094,-46.734768,"Brazil","2025-01-03T11:07"
"Apis mellifera",19.381464,-81.411896,"Cayman Islands","2025-01-03T10:18:53"
"Apis mellifera",-34.866233,-60.0507,"Argentina","2025-01-03T10:38:34"
"Apis mellifera",45.692887,8.605434,"Italy","2025-01-03T11:15"
"Apis mellifera",28.002078,-80.581688,"United States of America","2025-01-03T11:21:40"
"Apis mellifera",41.653732,1.846,"Spain","2025-01-03T17:22"
"Apis mellifera",-7.179772,-39.33006,"Brazil","2025-01-03T13:43:12"
"Apis mellifera",45.291253,12.007491,"Italy","2025-01-03T10:06:23"
"Apis mellifera",36.487743,4.718567,"Algeria","2025-01-03T13:43:07"
"Apis mellifera",25.651407,-100.265221,"Mexico","2025-01-03T11:41"
"Apis mellifera",6.054008,-73.534805,"Colombia","2025-01-03T09:37:13"
"Apis mellifera",34.129794,-106.971159,"United States of America","2025-01-01T12:21:09"
"Apis mellifera",34.017883,-118.364197,"United States of America","2025-01-03T11:21:52"
"Apis mellifera",34.190508,-118.104001,"United States of America","2025-01-03T12:42:50"
"Apis mellifera",-34.562084,-58.456686,"Argentina","2025-01-03T12:25"
"Apis mellifera",25.795729,-80.135377,"United States of America","2025-01-03T16:02:49"
"Apis mellifera",-45.251257,168.750419,"New Zealand","2025-01-04T10:39:54"
"Apis mellifera",33.136561,-97.15165,"United States of America","2025-01-03T14:19:32"
"Apis mellifera",29.560374,-98.226343,"United States of America","2025-01-03T16:12:56"
"Apis mellifera",25.764718,-100.218034,"Mexico","2025-01-03T16:16:03"
"Apis mellifera",33.761047,-111.843174,"United States of America","2025-01-02"
"Apis mellifera",-37.691753,145.297608,"Australia","2025-01-03T11:27:45"
"Apis mellifera",-37.691792,145.297547,"Australia","2025-01-03T11:08:54"
"Apis mellifera",-19.272562,-40.005622,"Brazil","2025-01-03T14:50:28"
"Apis mellifera",32.177317,-96.627326,"United States of America","2025-01-03T17:08:42"
"Apis mellifera",20.868594,-105.440556,"Mexico","2025-01-03T15:20:30"
"Apis mellifera",19.372875,-99.19681,"Mexico","2025-01-03T17:37"
"Apis mellifera",-40.65155,-62.751938,"Argentina","2025-01-02T17:37"
"Apis mellifera",-27.550044,152.509247,"Australia","2025-01-04T06:34"
"Apis mellifera",34.145397,-118.2687,"United States of America","2025-01-02T11:03:44"
"Apis mellifera",10.387633,-64.338627,"Venezuela (Bolivarian Republic of)","2025-01-03T12:51"
"Apis mellifera",25.878396,-80.185542,"United States of America","2025-01-03T13:56"
"Apis mellifera",33.053872,-117.279167,"United States of America","2025-01-03T11:51:15"
"Apis mellifera",33.053345,-117.279213,"United States of America","2025-01-03T12:26:20"
"Apis mellifera",28.680148,-80.693642,"United States of America","2025-01-03T13:49"
"Apis mellifera",-38.1716,145.131438,"Australia","2025-01-03T14:19"
"Apis mellifera",34.284329,-118.870162,"United States of America","2025-01-02T11:00:46"
"Apis mellifera",32.738806,-97.113744,"United States of America","2025-01-02T13:31:26"
"Apis mellifera",34.016872,-118.364655,"United States of America","2025-01-03T11:19:01"
"Apis mellifera",34.016783,-118.365988,"United States of America","2025-01-03T11:14:37"
"Apis mellifera",-27.808077,153.233246,"Australia","2025-01-01T16:35"
"Apis mellifera",-37.843795,144.883048,"Australia","2025-01-04T13:14:27"
"Apis mellifera",-37.927375,145.046022,"Australia","2025-01-04T17:18:09"
"Apis mellifera",-37.873392,145.083505,"Australia","2025-01-04T17:24:06"
"Apis mellifera",-37.99936,145.127219,"Australia","2025-01-04T17:25:42"
"Apis mellifera",-37.946715,145.15867,"Australia","2025-01-04T17:28:17"
"Apis mellifera",33.860537,-112.307797,"United States of America","2025-01-03T13:29"
"Apis mellifera",-37.793492,148.246047,"Australia","2025-01-04T13:40:15"
"Apis mellifera",-37.74102,148.023833,"Australia","2025-01-04T11:38:20"
"Apis mellifera",-45.97178,170.552996,"New Zealand","2025-01-02T16:11:29"
"Apis mellifera",-35.809754,137.265646,"Australia","2025-01-03T09:48:46"
"Apis mellifera",37.205228,50.010522,"Iran (Islamic Republic of)","2025-01-04T12:16:20"
"Apis mellifera",-17.78449,31.06987,"Zimbabwe","2025-01-04T15:08"
"Apis mellifera",37.204417,50.013483,"Iran (Islamic Republic of)","2025-01-04T11:47:14"
"Apis mellifera",25.022622,121.545525,"Chinese Taipei","2025-01-03T12:15"
"Apis mellifera",37.534512,-8.343235,"Portugal","2025-01-02T13:38:56Z"
"Apis mellifera",37.206058,50.017108,"Iran (Islamic Republic of)","2025-01-04T11:14:39"
"Apis mellifera",40.282866,23.29516,"Greece","2025-01-04T09:56:56"
"Apis mellifera",34.219692,-118.138969,"United States of America","2025-01-03T13:33:10"
"Apis mellifera",36.781817,-3.110267,"Spain","2025-01-03T15:09"
"Apis mellifera",41.65386,1.846257,"Spain","2025-01-04T16:37"
